"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","dual_distance","dual_intensity","dual_return_matching"
0.0199853740632534,4.97857141494751,0.6112966537475586,0.01998537376756971,4.978571383362938,0.6112966265202198,15.0,7.0,23.0,5.016,3982048483681.0,448483681.0,7.0,0.0,0.0,-1.0
0.01996943727135658,4.974601268768311,-0.6108091473579407,0.01996943646791456,4.974601230744628,-0.6108091491465992,22.0,8.0,23.0,5.012,3982048483684.0,448483684.0,-7.0,0.0,0.0,-1.0
0.02078532800078392,4.962102890014648,0.7859267592430115,0.02078532871102123,4.962102690395666,0.7859267523621198,77.0,9.0,24.0,5.024,3982048483686.0,448483686.0,9.0,0.0,0.0,-1.0
0.02176830172538757,4.988895416259766,-0.4364759624004364,0.02176830152259989,4.988895556901348,-0.4364759596802721,27.0,10.0,25.0,5.008,3982048483688.0,448483688.0,-5.0,0.0,0.0,-1.0
0.02175836637616158,4.986618518829346,0.9693096876144409,0.02175836645877983,4.986618622447,0.9693096965128476,40.0,11.0,25.0,5.08,3982048483691.0,448483691.0,11.0,0.0,0.0,-1.0
0.02265810780227184,4.993096351623535,-0.2616797685623169,0.0226581076425326,4.993096264069167,-0.2616797812147191,37.0,12.0,26.0,5.0,3982048483693.0,448483693.0,-3.0,0.0,0.0,-1.0
0.02335284650325775,4.955591201782227,1.144101023674011,0.02335284587409848,4.955591125549103,1.144101062392898,20.0,13.0,27.0,5.086,3982048483695.0,448483695.0,13.0,0.0,0.0,-1.0
0.02343576587736607,4.973187446594238,-0.08680827170610428,0.02343576611243402,4.973187216382716,-0.0868082696190482,45.0,14.0,27.0,4.974,3982048483698.0,448483698.0,-1.0,0.0,0.0,-1.0
0.02742543816566467,5.611961841583252,1.503738641738892,0.02742543854011581,5.611962037617934,1.503738652045646,81.0,15.0,28.0,5.81,3982048483700.0,448483700.0,15.0,0.0,0.0,-1.0
0.002384017920121551,1.95134425163269,0.2395951300859451,0.002384017960293766,1.951344277812959,0.2395951291345199,1.0,7.0,7.0,1.966,3982048483626.0,448483626.0,7.0,-1.0,-1.0,4.0
0.02097365073859692,3.641479969024658,-0.97574782371521,0.02097365088139677,3.641479965164251,-0.9757478000365032,6.0,0.0,33.0,3.77,3985648483720.0,448483720.0,-15.0,0.0,0.0,-1.0
0.02949977479875088,4.971155166625977,0.08677336573600769,0.0294997751359194,4.971155212465926,0.08677336480617363,100.0,1.0,34.0,4.972,3985648483722.0,448483722.0,1.0,0.0,0.0,-1.0
0.0249897800385952,4.211153507232666,-0.9722384810447693,0.0249897799052827,4.211153273614627,-0.9722384568741845,5.0,2.0,34.0,4.322,3985648483725.0,448483725.0,-13.0,0.0,0.0,-1.0
0.03041581064462662,4.979074001312256,0.2609470784664154,0.03041581033633371,4.979073960191289,0.2609470778273179,100.0,3.0,35.0,4.986,3985648483727.0,448483727.0,3.0,0.0,0.0,-1.0
0.03146763145923615,5.008162975311279,-0.9735075235366821,0.0314676304717781,5.008163031148033,-0.9735074944111316,4.0,4.0,36.0,5.102,3985648483729.0,448483729.0,-11.0,0.0,0.0,-1.0
0.01184247247874737,1.884763121604919,0.1648986637592316,0.01184247206344355,1.88476316444395,0.1648986652785693,1.0,5.0,36.0,1.892,3985648483732.0,448483732.0,5.0,0.0,0.0,-1.0
0.03229904547333717,5.001549243927002,-0.7921841144561768,0.03229904616626399,5.001549467341696,-0.7921841309637291,11.0,6.0,37.0,5.064,3985648483734.0,448483734.0,-9.0,0.0,0.0,-1.0
0.03301915898919106,4.978501796722412,0.6112966537475586,0.03301915979281685,4.978502000551127,0.6112966265202198,7.0,7.0,38.0,5.016,3985648483736.0,448483736.0,7.0,0.0,0.0,-1.0
0.03301915898919106,4.978501796722412,-0.6112966537475586,0.03301915979281685,4.978502000551127,-0.6112966265202198,17.0,8.0,38.0,5.016,3985648483738.0,448483738.0,-7.0,0.0,0.0,-1.0
0.03380288928747177,4.965981960296631,0.7865524888038635,0.03380288882419324,4.965981931585361,0.7865524902222809,78.0,9.0,39.0,5.028,3985648483741.0,448483741.0,9.0,0.0,0.0,-1.0
0.03382277861237526,4.9689040184021,-0.4347328543663025,0.0338227793023627,4.968904041459278,-0.434732844825319,16.0,10.0,39.0,4.988,3985648483743.0,448483743.0,-5.0,0.0,0.0,-1.0
0.03481321409344673,4.986544609069824,0.9693096876144409,0.03481321400667123,4.986544570379041,0.9693096965128476,70.0,11.0,40.0,5.08,3985648483745.0,448483745.0,11.0,0.0,0.0,-1.0
0.03577278554439545,4.999011516571045,-0.261993795633316,0.03577278640641669,4.999011458089619,-0.2619937969521768,19.0,12.0,41.0,5.006,3985648483748.0,448483748.0,-3.0,0.0,0.0,-1.0
0.03648476302623749,4.977108001708984,-0.08687807619571686,0.03648476141635577,4.977108102254875,-0.08687807924479732,28.0,14.0,42.0,4.978,3985648483752.0,448483752.0,-1.0,0.0,0.0,-1.0
0.04213190823793411,5.613802909851074,1.504256248474121,0.04213190827755156,5.613802803438293,1.504256290135851,84.0,15.0,43.0,5.812,3985648483755.0,448483755.0,15.0,0.0,0.0,-1.0
0.0311755295842886,3.645270824432373,-0.9767830967903137,0.03117552871824006,3.645270759275004,-0.9767830762169133,6.0,0.0,49.0,3.774,3985648483775.0,448483775.0,-15.0,0.0,0.0,-1.0
0.04242860525846481,4.961062908172607,0.08659884333610535,0.04242860602227357,4.961062835136558,0.08659884074180078,96.0,1.0,49.0,4.962,3985648483778.0,448483778.0,1.0,0.0,0.0,-1.0
0.03680044412612915,4.216913223266602,-0.9735881686210632,0.03680044282212468,4.216913067148108,-0.9735881632002478,5.0,2.0,50.0,4.328,3985648483780.0,448483780.0,-13.0,0.0,0.0,-1.0
0.04352059215307236,4.986966133117676,0.2613657712936401,0.04352059296729361,4.9869660009493,0.2613657654772615,100.0,3.0,50.0,4.994,3985648483782.0,448483782.0,3.0,0.0,0.0,-1.0
0.0446137972176075,5.011990070343018,-0.9742707014083862,0.04461379790850495,5.011989839668111,-0.9742707303926378,4.0,4.0,51.0,5.106,3985648483785.0,448483785.0,-11.0,0.0,0.0,-1.0
0.01701525971293449,1.87476122379303,0.1640271097421646,0.01701526018049977,1.874761208477228,0.1640271078510927,1.0,5.0,52.0,1.882,3985648483787.0,448483787.0,5.0,0.0,0.0,-1.0
0.04521366953849792,4.98169469833374,-0.7890554666519165,0.04521366936818698,4.981694815430227,-0.7890554416629246,16.0,6.0,52.0,5.044,3985648483789.0,448483789.0,-9.0,0.0,0.0,-1.0
0.04603435844182968,4.976413249969482,0.6110528707504272,0.04603435718008728,4.976413488269385,0.6110528878334095,6.0,7.0,53.0,5.014,3985648483791.0,448483791.0,7.0,0.0,0.0,-1.0
