"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","dual_distance","dual_intensity","dual_return_matching"
0.009513289667665958,3.633800506591797,-0.9736772179603577,0.009513289211933045,3.633800505625905,-0.973677247675683,6.0,0.0,15.0,3.762,3024407171828.0,407171828.0,-15.0,0.0,0.0,-1.0
0.0130146685987711,4.971225738525391,0.08677336573600769,0.01301466819329427,4.971225704147021,0.08677336480617363,70.0,1.0,15.0,4.972,3024407171830.0,407171830.0,1.0,0.0,0.0,-1.0
0.01176539249718189,4.213159561157227,-0.9726883769035339,0.01176539206222621,4.21315973253434,-0.9726883589828722,4.0,2.0,16.0,4.324,3024407171832.0,407171832.0,-13.0,0.0,0.0,-1.0
0.01393232587724924,4.989133834838867,0.2614704370498657,0.013932325804458,4.98913370242459,0.2614704373897474,64.0,3.0,16.0,4.996,3024407171835.0,407171835.0,3.0,0.0,0.0,-1.0
0.01486561540514231,5.010202884674072,-0.9738891124725342,0.01486561544441488,5.010203090716237,-0.9738891124018847,6.0,4.0,17.0,5.104,3024407171837.0,407171837.0,-11.0,0.0,0.0,-1.0
0.01478743460029364,4.983853340148926,-0.7893683314323425,0.01478743419493769,4.983853429026729,-0.789368310593005,16.0,6.0,17.0,5.046,3024407171841.0,407171841.0,-9.0,0.0,0.0,-1.0
0.01565945334732533,4.984542369842529,0.6120278239250183,0.01565945259829288,4.984542175711868,0.6120278425806507,12.0,7.0,18.0,5.022,3024407171844.0,407171844.0,7.0,0.0,0.0,-1.0
0.01565945334732533,4.984542369842529,-0.6120278239250183,0.01565945259829288,4.984542175711868,-0.6120278425806507,22.0,8.0,18.0,5.022,3024407171846.0,407171846.0,-7.0,0.0,0.0,-1.0
0.01651402562856674,4.979897022247314,0.7887426018714905,0.01651402512390395,4.979897231965031,0.788742572732844,52.0,9.0,19.0,5.042,3024407171848.0,407171848.0,9.0,0.0,0.0,-1.0
0.01650428958237171,4.976961135864258,-0.4354300796985626,0.0165042893233075,4.976961346493291,-0.4354300907673002,28.0,10.0,19.0,4.996,3024407171851.0,407171851.0,-5.0,0.0,0.0,-1.0
0.01654289104044437,4.988601684570312,0.9696913361549377,0.01654289105875791,4.988601917103798,0.9696913145036007,40.0,11.0,19.0,5.082,3024407171853.0,407171853.0,11.0,0.0,0.0,-1.0
0.01745025254786015,4.999108791351318,-0.261993795633316,0.017450253199469,4.999108994513108,-0.2619937969521768,37.0,12.0,20.0,5.006,3024407171855.0,407171855.0,-3.0,0.0,0.0,-1.0
0.01731884106993675,4.961462020874023,1.145450711250305,0.01731884036256577,4.96146214277703,1.145450768718961,22.0,13.0,20.0,5.092000000000001,3024407171858.0,407171858.0,13.0,0.0,0.0,-1.0
0.01827182061970234,4.985207080841064,-0.08701770007610321,0.01827182023952701,4.985207123152812,-0.08701769849629558,45.0,14.0,21.0,4.986,3024407171860.0,407171860.0,-1.0,0.0,0.0,-1.0
0.02051955088973045,5.59846830368042,1.500115156173706,0.02051955059221421,5.598468485088863,1.50011518541421,81.0,15.0,21.0,5.796,3024407171862.0,407171862.0,15.0,0.0,0.0,-1.0
0.01593131385743618,3.651164770126343,-0.978335976600647,0.01593131321712519,3.651164866583809,-0.9783359904875285,6.0,0.0,25.0,3.78,3024407171883.0,407171883.0,-15.0,0.0,0.0,-1.0
0.02166489325463772,4.96519660949707,0.08666864782571793,0.02166489373716702,4.965196388605674,0.08666865036754992,100.0,1.0,25.0,4.966,3024407171885.0,407171885.0,1.0,0.0,0.0,-1.0
0.01834087632596493,4.203392505645752,-0.9704388380050659,0.01834087587826949,4.203392445836049,-0.9704388484394336,5.0,2.0,25.0,4.314,3024407171887.0,407171887.0,-13.0,0.0,0.0,-1.0
0.02259466424584389,4.97911548614502,0.2609470784664154,0.02259466494113351,4.979115594529772,0.2609470778273179,100.0,3.0,26.0,4.986,3024407171890.0,407171890.0,3.0,0.0,0.0,-1.0
0.0227356031537056,5.010173320770264,-0.9738891124725342,0.02273560247968328,5.010173558782665,-0.9738891124018847,6.0,4.0,26.0,5.104,3024407171892.0,407171892.0,-11.0,0.0,0.0,-1.0
0.008661417290568352,1.908689379692078,0.1669903993606567,0.008661417155502617,1.908689389377918,0.166990403104513,1.0,5.0,26.0,1.916,3024407171894.0,407171894.0,5.0,0.0,0.0,-1.0
0.02349518053233624,4.985795497894287,-0.7896811962127686,0.02349518114240505,4.985795384005456,-0.7896811795230855,15.0,6.0,27.0,5.048,3024407171897.0,407171897.0,-9.0,0.0,0.0,-1.0
0.0234797764569521,4.982526302337646,0.6117841005325317,0.0234797761072761,4.982526358217964,0.6117841038938404,18.0,7.0,27.0,5.02,3024407171899.0,407171899.0,7.0,0.0,0.0,-1.0
0.0243590921163559,4.984507083892822,-0.6120278239250183,0.0243590915978751,4.984507252935098,-0.6120278425806507,19.0,8.0,28.0,5.022,3024407171901.0,407171901.0,-7.0,0.0,0.0,-1.0
0.02431709878146648,4.975914478302002,0.7881168127059937,0.02431709886719673,4.975914441918485,0.7881168348726831,70.0,9.0,28.0,5.038,3024407171904.0,407171904.0,9.0,0.0,0.0,-1.0
0.02432205900549889,4.976929187774658,-0.4354300796985626,0.02432205834869478,4.976929281548219,-0.4354300907673002,28.0,10.0,28.0,4.996,3024407171906.0,407171906.0,-5.0,0.0,0.0,-1.0
